coord_id,lon,lat,date,value
2,110.16165007437614,-7.631639975446285,2018-01-23 02:00,1.298311710357666
2,110.16165007437614,-7.631639975446285,2018-01-23 02:30,0.6963701248168945
2,110.16165007437614,-7.631639975446285,2018-01-23 03:00,0.5190266370773315
2,110.16165007437614,-7.631639975446285,2018-01-23 03:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 04:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 04:30,0.003453596029430628
2,110.16165007437614,-7.631639975446285,2018-01-23 05:00,0.006002497859299183
2,110.16165007437614,-7.631639975446285,2018-01-23 05:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 06:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 06:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 07:00,0.0
